cliente_id,region,experiencia_digital,satisfaccion_servicio,ingreso_anual_soles,gasto_mensual_soles,ratio_deuda,indice_ahorro,clase
CLI-00356,Cusco,Bajo,Muy baja,21718.03,1178.21,0.8342,0.0222,Clase_C_alto_riesgo
CLI-00199,Piura,Medio,Baja,51526.9,2287.45,0.4076,0.4747,Clase_C_alto_riesgo
CLI-01089,Junín,Medio,Alta,53232.91,2824.96,0.1313,0.8199,Clase_A_bajo_riesgo
CLI-00584,Lima,Medio,Muy baja,60966.9,2738.85,0.6442,0.1932,Clase_C_alto_riesgo
CLI-00855,Lima,Bajo,Baja,29018.9,1583.87,0.2544,0.5605,Clase_B_riesgo_medio
CLI-00080,Lima,Alto,Muy alta,36795.45,2194.78,0.02,0.9791,Clase_A_bajo_riesgo
CLI-01470,Piura,Bajo,Baja,31935.45,2118.93,0.2387,0.5761,Clase_B_riesgo_medio
CLI-00118,Lima,Medio,Alta,83706.19,4246.29,0.149,0.8184,Clase_B_riesgo_medio
CLI-01297,Lima,Medio,Media,80959.76,3181.38,0.383,0.5167,Clase_C_alto_riesgo
CLI-00280,Piura,Bajo,Muy baja,25977.97,1570.04,0.5727,0.2513,Clase_C_alto_riesgo
CLI-01088,Lima,Bajo,Alta,23473.21,1109.49,0.0796,0.6897,Clase_B_riesgo_medio
CLI-01482,Lima,Medio,Alta,17046.77,904.86,0.4322,0.5004,Clase_C_alto_riesgo
CLI-01748,Lima,Medio,Muy baja,71163.36,3452.33,0.4589,0.4369,Clase_C_alto_riesgo
CLI-00526,Arequipa,Bajo,Alta,67312.53,3658.37,0.1048,0.6694,Clase_B_riesgo_medio
CLI-00171,La Libertad,Alto,Media,39143.04,1854.25,0.2905,0.7198,Clase_A_bajo_riesgo
CLI-01130,Lima,Alto,Baja,63612.27,3164.56,0.3469,0.5202,Clase_A_bajo_riesgo
CLI-00288,Arequipa,Medio,Muy baja,32416.3,2003.33,0.4242,0.4552,Clase_C_alto_riesgo
CLI-01327,Lima,Alto,Media,58519.1,3517.46,0.3329,0.461,Clase_B_riesgo_medio
CLI-01499,Lima,Bajo,Muy baja,37428.48,1676.54,0.4988,0.3834,Clase_C_alto_riesgo
CLI-00661,Lima,Medio,Muy alta,42996.83,1884.65,0.1559,0.7139,Clase_B_riesgo_medio
CLI-00476,Junín,Alto,Muy alta,78652.18,4103.35,0.154,0.664,Clase_A_bajo_riesgo
CLI-00190,Lima,Alto,Muy alta,108490.86,3870.41,0.0501,0.9037,Clase_A_bajo_riesgo
CLI-00970,Arequipa,Medio,Muy alta,99063.42,5281.31,0.1266,0.98,Clase_A_bajo_riesgo
CLI-00061,Lima,Bajo,Muy baja,31907.13,1414.35,0.8001,0.0404,Clase_C_alto_riesgo
CLI-00450,Lima,Medio,Media,75444.63,3449.47,0.4581,0.599,Clase_C_alto_riesgo
CLI-00741,Arequipa,Medio,Media,58873.69,2690.48,0.4366,0.3855,Clase_C_alto_riesgo
CLI-01046,Cusco,Alto,Media,41006.97,2320.18,0.1086,0.6901,Clase_A_bajo_riesgo
CLI-01506,Lima,Medio,Muy baja,41810.38,1980.26,0.5805,0.3531,Clase_C_alto_riesgo
CLI-00619,Piura,Alto,Media,29559.63,1874.07,0.2047,0.5789,Clase_B_riesgo_medio
CLI-00680,Piura,Medio,Muy alta,57775.02,3264.94,0.0941,0.7506,Clase_A_bajo_riesgo
CLI-00047,Lima,Bajo,Media,29381.48,1568.65,0.4046,0.6403,Clase_B_riesgo_medio
CLI-00928,Arequipa,Muy alto,Muy alta,64521.82,3155.79,0.0461,0.9355,Clase_A_bajo_riesgo
CLI-00455,Lima,Medio,Baja,46720.79,2452.24,0.2923,0.5372,Clase_C_alto_riesgo
CLI-01750,Lima,Alto,Media,38241.36,1632.44,0.371,0.5331,Clase_B_riesgo_medio
CLI-01100,Lima,Medio,Alta,85931.73,3704.54,0.2172,0.6039,Clase_B_riesgo_medio
CLI-00845,Lima,Medio,Muy baja,50354.66,2306.03,0.5132,0.3078,Clase_C_alto_riesgo
CLI-01947,Arequipa,Alto,Media,69015.72,3415.4,0.2075,0.7171,Clase_A_bajo_riesgo
CLI-00821,Piura,Muy alto,Muy alta,87192.99,4359.3,0.2674,0.6248,Clase_A_bajo_riesgo
CLI-00354,Lima,Alto,Alta,42481.58,2819.89,0.1434,0.7619,Clase_A_bajo_riesgo
CLI-01681,Lima,Alto,Muy alta,99044.44,4811.14,0.2275,0.7125,Clase_A_bajo_riesgo
CLI-00631,La Libertad,Medio,Baja,53573.18,2264.85,0.4097,0.4939,Clase_B_riesgo_medio
CLI-00858,Arequipa,Bajo,Media,33858.08,1937.14,0.2658,0.6801,Clase_C_alto_riesgo
CLI-01825,Cusco,Bajo,Alta,47050.38,2327.02,0.0571,0.8305,Clase_B_riesgo_medio
CLI-00799,La Libertad,Muy alto,Alta,67824.67,3312.1,0.4937,0.4938,Clase_C_alto_riesgo
CLI-00580,Lima,Medio,Alta,47072.41,2816.1,0.2668,0.7106,Clase_A_bajo_riesgo
CLI-01706,Lima,Alto,Muy baja,35482.28,1586.6,0.6649,0.1582,Clase_C_alto_riesgo
CLI-00387,Lima,Medio,Baja,84378.56,4187.73,0.4637,0.3909,Clase_C_alto_riesgo
CLI-00784,Lima,Alto,Media,94606.78,4978.24,0.481,0.5135,Clase_A_bajo_riesgo
CLI-01011,Lima,Medio,Media,72752.83,3379.86,0.3929,0.457,Clase_C_alto_riesgo
CLI-00506,Lima,Bajo,Alta,47510.39,2238.17,0.2729,0.6545,Clase_B_riesgo_medio
CLI-00926,Lima,Alto,Media,28669.14,1737.12,0.1352,0.8102,Clase_A_bajo_riesgo
CLI-01804,Lima,Muy alto,Media,47508.86,2450.12,0.1655,0.7602,Clase_A_bajo_riesgo
CLI-01685,Lima,Alto,Muy alta,76920.22,4421.11,0.0519,0.9513,Clase_A_bajo_riesgo
CLI-00592,Cusco,Alto,Media,33854.59,1928.55,0.2134,0.6175,Clase_A_bajo_riesgo
CLI-00033,Lima,Medio,Muy baja,42801.1,2118.69,0.6078,0.2753,Clase_C_alto_riesgo
CLI-00452,Cusco,Muy alto,Media,60007.14,3000.93,0.2176,0.7545,Clase_A_bajo_riesgo
CLI-01976,Junín,Alto,Muy alta,70429.15,3564.84,0.0409,0.8935,Clase_A_bajo_riesgo
CLI-01316,Cusco,Alto,Muy baja,72897.07,2676.78,0.5707,0.2219,Clase_C_alto_riesgo
CLI-01768,Arequipa,Medio,Media,41337.73,2022.83,0.1871,0.7599,Clase_A_bajo_riesgo
CLI-01288,Lima,Alto,Media,44386.25,1931.44,0.2736,0.6467,Clase_B_riesgo_medio
CLI-01564,Lima,Medio,Media,60890.84,3382.42,0.3002,0.6544,Clase_B_riesgo_medio
CLI-01217,Lima,Bajo,Baja,61567.54,2986.54,0.5202,0.3508,Clase_C_alto_riesgo
CLI-00049,Arequipa,Medio,Media,37286.6,2213.43,0.02,0.8396,Clase_A_bajo_riesgo
CLI-01235,Cusco,Medio,Muy alta,56570.86,2745.36,0.2702,0.649,Clase_B_riesgo_medio
CLI-01442,Lima,Medio,Media,82279.14,4746.74,0.172,0.7336,Clase_B_riesgo_medio
CLI-01259,Lima,Medio,Media,55247.89,2444.01,0.2405,0.6616,Clase_B_riesgo_medio
CLI-00173,Arequipa,Bajo,Alta,59708.71,3427.82,0.0282,0.7628,Clase_A_bajo_riesgo
CLI-01256,Arequipa,Bajo,Muy baja,16329.63,1075.4,0.4819,0.3831,Clase_C_alto_riesgo
CLI-00752,Junín,Alto,Muy baja,44802.86,2275.0,0.5266,0.4781,Clase_C_alto_riesgo
CLI-01488,La Libertad,Bajo,Muy alta,77978.94,4072.76,0.1665,0.6983,Clase_A_bajo_riesgo
CLI-01377,Arequipa,Alto,Baja,78600.58,3858.78,0.6323,0.3225,Clase_C_alto_riesgo
CLI-00089,Piura,Alto,Muy alta,70101.31,3246.72,0.02,0.8814,Clase_A_bajo_riesgo
CLI-01045,Piura,Alto,Alta,40761.57,2438.35,0.02,0.9394,Clase_A_bajo_riesgo
CLI-01000,Arequipa,Alto,Media,49443.4,2100.93,0.1435,0.8537,Clase_A_bajo_riesgo
CLI-00365,Junín,Medio,Muy baja,34649.8,1993.06,0.6397,0.3118,Clase_C_alto_riesgo
CLI-00520,Lima,Alto,Baja,55988.84,2441.12,0.5302,0.3782,Clase_C_alto_riesgo
CLI-01808,Lima,Medio,Alta,45726.34,2149.42,0.02,0.8016,Clase_A_bajo_riesgo
CLI-01387,La Libertad,Bajo,Media,48566.07,2506.45,0.2653,0.5507,Clase_B_riesgo_medio
CLI-01376,Piura,Alto,Muy baja,42454.15,2716.72,0.6748,0.2413,Clase_C_alto_riesgo
CLI-00655,Arequipa,Alto,Muy baja,42810.16,2286.13,0.3982,0.5559,Clase_B_riesgo_medio
CLI-01678,Lima,Medio,Media,51809.67,2341.38,0.3124,0.5198,Clase_B_riesgo_medio
CLI-00630,Lima,Medio,Muy baja,35724.98,2077.86,0.3942,0.3398,Clase_B_riesgo_medio
CLI-01527,Lima,Muy alto,Media,47378.08,2599.31,0.3233,0.5357,Clase_A_bajo_riesgo
CLI-00206,Lima,Muy alto,Media,41979.22,1884.53,0.1942,0.7814,Clase_A_bajo_riesgo
CLI-01192,Cusco,Muy alto,Alta,56778.38,2921.54,0.3087,0.5669,Clase_B_riesgo_medio
CLI-00039,La Libertad,Bajo,Media,55316.72,3136.38,0.2136,0.6738,Clase_B_riesgo_medio
CLI-00325,Junín,Alto,Muy alta,51673.58,2526.22,0.02,0.9576,Clase_A_bajo_riesgo
CLI-00196,Lima,Medio,Media,51499.09,3120.49,0.142,0.7178,Clase_A_bajo_riesgo
CLI-00322,La Libertad,Alto,Muy alta,100389.49,5286.19,0.1427,0.8723,Clase_A_bajo_riesgo
CLI-01712,Lima,Alto,Media,48610.27,1910.13,0.145,0.8451,Clase_A_bajo_riesgo
CLI-01434,La Libertad,Medio,Media,53883.07,2101.5,0.2976,0.5864,Clase_B_riesgo_medio
CLI-00074,Piura,Alto,Media,27451.96,1909.41,0.1224,0.7746,Clase_A_bajo_riesgo
CLI-00114,Piura,Alto,Baja,42543.18,2751.74,0.1487,0.6823,Clase_A_bajo_riesgo
CLI-00111,Lima,Bajo,Media,46071.48,2116.13,0.205,0.6017,Clase_B_riesgo_medio
CLI-01221,Junín,Medio,Media,55949.59,3208.76,0.1974,0.57,Clase_B_riesgo_medio
CLI-00818,Lima,Bajo,Alta,45378.76,2261.23,0.2344,0.6834,Clase_B_riesgo_medio
CLI-01064,Lima,Medio,Baja,68941.55,3593.01,0.4576,0.4385,Clase_B_riesgo_medio
CLI-01405,La Libertad,Alto,Baja,42167.02,2330.9,0.4247,0.5403,Clase_C_alto_riesgo
CLI-00042,Arequipa,Medio,Baja,59052.31,2911.26,0.4838,0.415,Clase_C_alto_riesgo
CLI-00191,Lima,Bajo,Baja,54611.18,2072.6,0.5194,0.345,Clase_C_alto_riesgo
CLI-01172,Junín,Bajo,Muy alta,36218.23,1903.47,0.2239,0.6141,Clase_B_riesgo_medio
CLI-00946,Lima,Bajo,Muy baja,59086.2,2677.9,0.4946,0.3448,Clase_C_alto_riesgo
CLI-01200,Lima,Medio,Media,44216.54,1785.41,0.4699,0.4254,Clase_C_alto_riesgo
CLI-02000,Lima,Bajo,Muy alta,127887.46,5771.97,0.0783,0.7654,Clase_A_bajo_riesgo
CLI-01745,Lima,Bajo,Baja,28554.98,1418.73,0.2292,0.6735,Clase_C_alto_riesgo
CLI-01058,Lima,Bajo,Muy alta,52165.04,2296.44,0.0664,0.9061,Clase_A_bajo_riesgo
CLI-01543,Cusco,Bajo,Media,28932.21,2052.41,0.4495,0.3073,Clase_C_alto_riesgo
CLI-01093,Cusco,Medio,Alta,75254.46,3420.8,0.3958,0.5644,Clase_B_riesgo_medio
CLI-01606,Arequipa,Bajo,Media,48824.95,2976.69,0.2393,0.7284,Clase_B_riesgo_medio
CLI-00507,Junín,Alto,Muy alta,93268.65,4495.0,0.0242,0.8664,Clase_A_bajo_riesgo
CLI-00265,Piura,Medio,Alta,58795.5,2967.49,0.0614,0.9142,Clase_A_bajo_riesgo
CLI-01278,Junín,Medio,Media,65148.74,3168.67,0.4014,0.5218,Clase_B_riesgo_medio
CLI-00831,Lima,Medio,Muy alta,103871.45,5282.79,0.4818,0.461,Clase_A_bajo_riesgo
CLI-01971,Lima,Muy alto,Alta,74372.92,3838.8,0.17,0.8465,Clase_A_bajo_riesgo
CLI-01756,Piura,Bajo,Muy alta,44802.99,2598.77,0.069,0.8473,Clase_A_bajo_riesgo
CLI-01349,Junín,Medio,Baja,65015.41,3817.54,0.355,0.4294,Clase_B_riesgo_medio
CLI-00053,Junín,Bajo,Alta,66153.14,3788.0,0.2529,0.6566,Clase_B_riesgo_medio
CLI-00829,La Libertad,Medio,Baja,61709.72,2897.04,0.3901,0.4883,Clase_C_alto_riesgo
CLI-01148,Cusco,Alto,Media,32299.55,2034.86,0.2232,0.7499,Clase_A_bajo_riesgo
CLI-00573,Lima,Medio,Baja,69289.27,3688.3,0.5176,0.2708,Clase_C_alto_riesgo
CLI-01905,La Libertad,Alto,Muy alta,52187.97,2551.94,0.0627,0.8744,Clase_A_bajo_riesgo
CLI-01996,Cusco,Medio,Media,40900.75,2363.54,0.3723,0.5284,Clase_C_alto_riesgo
CLI-00938,Junín,Medio,Media,33787.87,2440.27,0.2408,0.6975,Clase_A_bajo_riesgo
CLI-01396,Piura,Muy alto,Baja,48672.06,2315.57,0.1955,0.7579,Clase_A_bajo_riesgo
CLI-00942,Cusco,Medio,Muy baja,51403.73,2470.12,0.1459,0.6917,Clase_A_bajo_riesgo
CLI-01634,Piura,Medio,Alta,42960.93,2044.89,0.1814,0.7021,Clase_A_bajo_riesgo
CLI-01201,La Libertad,Medio,Media,62614.24,2438.17,0.2212,0.5984,Clase_B_riesgo_medio
CLI-01867,Lima,Medio,Media,118811.43,6324.35,0.311,0.6532,Clase_A_bajo_riesgo
CLI-00621,Lima,Alto,Alta,26937.55,1442.69,0.1263,0.7569,Clase_B_riesgo_medio
CLI-00891,La Libertad,Medio,Muy baja,48066.93,1898.13,0.6456,0.289,Clase_C_alto_riesgo
CLI-00484,Cusco,Bajo,Media,39364.66,1971.14,0.1677,0.6823,Clase_C_alto_riesgo
CLI-00352,Piura,Muy alto,Media,57367.42,2742.27,0.0281,0.9034,Clase_A_bajo_riesgo
CLI-01275,Arequipa,Alto,Alta,64611.0,2645.22,0.3879,0.4343,Clase_B_riesgo_medio
CLI-01946,Arequipa,Bajo,Media,43463.85,2458.4,0.1636,0.732,Clase_C_alto_riesgo
CLI-00794,Cusco,Bajo,Baja,30729.33,1857.58,0.5795,0.3058,Clase_C_alto_riesgo
CLI-00668,Lima,Medio,Media,78061.54,3461.84,0.379,0.4257,Clase_B_riesgo_medio
CLI-00058,Lima,Medio,Alta,98428.29,5101.55,0.2608,0.6334,Clase_B_riesgo_medio
CLI-00751,Lima,Medio,Media,62482.61,3746.99,0.2171,0.6517,Clase_A_bajo_riesgo
CLI-01710,Cusco,Muy alto,Muy alta,69299.6,3000.74,0.3087,0.6392,Clase_A_bajo_riesgo
CLI-01983,Arequipa,Bajo,Alta,33922.77,1303.67,0.1404,0.6729,Clase_B_riesgo_medio
CLI-01260,Cusco,Alto,Muy baja,28258.98,1754.95,0.4242,0.4316,Clase_A_bajo_riesgo
CLI-01599,Lima,Medio,Media,28312.03,1493.08,0.3928,0.4812,Clase_C_alto_riesgo
CLI-00340,Lima,Medio,Muy baja,49105.5,2778.91,0.5054,0.3687,Clase_C_alto_riesgo
CLI-00533,Junín,Medio,Baja,61247.39,3158.3,0.314,0.433,Clase_B_riesgo_medio
CLI-01689,Cusco,Bajo,Alta,18440.04,1034.2,0.2917,0.4545,Clase_C_alto_riesgo
CLI-00215,La Libertad,Alto,Muy alta,102883.49,4369.88,0.1529,0.7205,Clase_A_bajo_riesgo
CLI-00036,Piura,Medio,Baja,39549.02,2153.72,0.2948,0.5811,Clase_C_alto_riesgo
CLI-01484,Lima,Muy alto,Baja,73782.34,4085.18,0.631,0.2323,Clase_C_alto_riesgo
CLI-01897,Cusco,Bajo,Muy baja,26574.28,1136.5,0.4368,0.4413,Clase_C_alto_riesgo
CLI-00957,Arequipa,Alto,Muy alta,110113.18,5014.62,0.231,0.6381,Clase_A_bajo_riesgo
CLI-00893,Piura,Alto,Baja,44780.96,2369.04,0.2799,0.6506,Clase_A_bajo_riesgo
CLI-01440,La Libertad,Muy alto,Muy alta,114769.85,5400.18,0.02,0.8707,Clase_A_bajo_riesgo
CLI-00027,Lima,Alto,Muy baja,44069.55,2488.61,0.6771,0.1814,Clase_C_alto_riesgo
CLI-00225,Lima,Bajo,Alta,45742.27,2093.46,0.2815,0.6493,Clase_B_riesgo_medio
CLI-01558,Lima,Medio,Media,49296.12,2726.84,0.2018,0.6745,Clase_B_riesgo_medio
CLI-01284,Lima,Alto,Alta,64524.36,3449.32,0.4541,0.5394,Clase_B_riesgo_medio
CLI-00563,Lima,Bajo,Muy baja,61594.08,2916.17,0.5382,0.3668,Clase_C_alto_riesgo
CLI-01920,Lima,Alto,Alta,87914.53,4878.49,0.3914,0.7571,Clase_A_bajo_riesgo
CLI-01502,Arequipa,Alto,Alta,43701.32,2338.15,0.2653,0.8513,Clase_A_bajo_riesgo
CLI-00268,La Libertad,Alto,Muy alta,88813.82,4695.58,0.3277,0.6445,Clase_A_bajo_riesgo
CLI-00548,La Libertad,Medio,Media,56212.41,2229.08,0.4516,0.4697,Clase_B_riesgo_medio
CLI-00780,Cusco,Bajo,Baja,25426.43,1714.93,0.2479,0.5864,Clase_C_alto_riesgo
CLI-01373,Piura,Bajo,Alta,44974.27,2254.26,0.313,0.4999,Clase_B_riesgo_medio
CLI-01829,Piura,Alto,Baja,54502.61,2262.05,0.201,0.6245,Clase_A_bajo_riesgo
CLI-00236,La Libertad,Medio,Baja,48593.6,2441.45,0.4252,0.4014,Clase_C_alto_riesgo
CLI-01413,Lima,Bajo,Muy baja,33636.39,1627.07,0.7755,0.0719,Clase_C_alto_riesgo
CLI-00217,Lima,Alto,Muy baja,31275.48,1839.43,0.615,0.3437,Clase_C_alto_riesgo
CLI-01975,Lima,Bajo,Muy baja,48981.65,2676.79,0.462,0.3735,Clase_C_alto_riesgo
CLI-00667,Lima,Bajo,Media,32707.39,1852.11,0.3001,0.4932,Clase_C_alto_riesgo
CLI-01842,Arequipa,Bajo,Media,30568.8,1867.18,0.3877,0.5298,Clase_C_alto_riesgo
CLI-01736,Piura,Medio,Muy baja,47708.83,2319.84,0.2081,0.5966,Clase_B_riesgo_medio
CLI-01388,Lima,Medio,Media,62444.87,3391.61,0.1942,0.6937,Clase_A_bajo_riesgo
CLI-01608,Piura,Medio,Media,54985.69,2783.38,0.326,0.5996,Clase_B_riesgo_medio
CLI-01726,Lima,Muy alto,Media,84173.8,3957.66,0.2154,0.6068,Clase_A_bajo_riesgo
CLI-01345,La Libertad,Medio,Media,27398.3,1939.86,0.2105,0.7741,Clase_B_riesgo_medio
CLI-00909,Lima,Medio,Muy baja,53741.71,2740.2,0.5055,0.3434,Clase_B_riesgo_medio
CLI-01966,Cusco,Alto,Media,57730.41,2887.0,0.2237,0.7852,Clase_B_riesgo_medio
CLI-01433,Arequipa,Alto,Media,46949.92,2646.4,0.0663,0.7382,Clase_A_bajo_riesgo
CLI-00306,Junín,Medio,Media,73787.28,3148.58,0.4106,0.6042,Clase_B_riesgo_medio
CLI-01836,Cusco,Medio,Muy baja,62029.99,3035.62,0.3886,0.371,Clase_C_alto_riesgo
CLI-01632,Lima,Bajo,Muy baja,39549.24,2045.25,0.6303,0.1346,Clase_C_alto_riesgo
CLI-01765,Lima,Medio,Muy baja,62517.94,3021.74,0.4755,0.4639,Clase_C_alto_riesgo
CLI-00372,Lima,Alto,Media,39755.45,1642.19,0.1952,0.7079,Clase_A_bajo_riesgo
CLI-01943,Piura,Bajo,Muy alta,62375.77,2977.77,0.2434,0.6904,Clase_B_riesgo_medio
CLI-00426,Arequipa,Alto,Muy baja,37246.0,2296.74,0.4205,0.4932,Clase_C_alto_riesgo
CLI-00762,Lima,Bajo,Baja,41250.65,2026.4,0.4188,0.5249,Clase_C_alto_riesgo
CLI-00380,Lima,Alto,Media,43533.55,1750.7,0.2881,0.5631,Clase_B_riesgo_medio
CLI-01264,Arequipa,Bajo,Muy baja,27925.6,1613.48,0.2702,0.5134,Clase_B_riesgo_medio
CLI-01507,Cusco,Muy alto,Media,92318.39,4111.64,0.5685,0.2975,Clase_C_alto_riesgo
CLI-01099,La Libertad,Bajo,Baja,30708.55,2077.42,0.3823,0.5108,Clase_C_alto_riesgo
CLI-01030,Piura,Medio,Media,38097.48,2326.37,0.2031,0.5762,Clase_B_riesgo_medio
CLI-00956,Lima,Alto,Media,33137.63,1382.42,0.2949,0.6202,Clase_B_riesgo_medio
CLI-01090,Lima,Bajo,Media,97203.77,4911.36,0.5287,0.2953,Clase_C_alto_riesgo
CLI-00837,Junín,Muy alto,Muy alta,32056.92,1704.66,0.2421,0.7392,Clase_A_bajo_riesgo
CLI-01965,Cusco,Bajo,Alta,38257.86,2056.02,0.2813,0.6756,Clase_B_riesgo_medio
CLI-00832,Arequipa,Alto,Media,44163.16,2310.51,0.1191,0.8248,Clase_A_bajo_riesgo
CLI-00154,Arequipa,Alto,Media,70319.2,3719.39,0.3192,0.5183,Clase_B_riesgo_medio
CLI-00593,Lima,Medio,Baja,40028.52,2080.72,0.3636,0.5439,Clase_C_alto_riesgo
CLI-01493,Lima,Alto,Muy alta,53934.52,2567.85,0.1004,0.8777,Clase_A_bajo_riesgo
CLI-00703,Lima,Bajo,Muy baja,35534.5,2492.01,0.5934,0.2059,Clase_C_alto_riesgo
CLI-01497,Cusco,Alto,Baja,77443.76,3762.07,0.5402,0.5199,Clase_A_bajo_riesgo
CLI-01743,La Libertad,Alto,Baja,51076.86,2789.36,0.4129,0.6016,Clase_B_riesgo_medio
CLI-00728,Piura,Bajo,Baja,51729.86,3112.49,0.5369,0.35,Clase_C_alto_riesgo
CLI-00270,Lima,Medio,Muy alta,84636.61,3887.2,0.2282,0.5835,Clase_B_riesgo_medio
CLI-01530,Arequipa,Medio,Alta,34855.84,1975.75,0.1557,0.7862,Clase_B_riesgo_medio
CLI-00971,La Libertad,Medio,Muy baja,37821.14,1805.56,0.5713,0.2124,Clase_C_alto_riesgo
CLI-01614,Lima,Alto,Muy alta,40928.16,2445.87,0.02,0.9663,Clase_A_bajo_riesgo
CLI-00761,Lima,Bajo,Media,60527.07,3065.52,0.1393,0.6746,Clase_A_bajo_riesgo
CLI-01646,La Libertad,Bajo,Muy baja,32240.99,2101.93,0.5622,0.3173,Clase_C_alto_riesgo
CLI-00187,Piura,Alto,Alta,41085.56,1980.78,0.0583,0.98,Clase_A_bajo_riesgo
CLI-01333,Lima,Bajo,Media,49033.55,2774.98,0.298,0.5237,Clase_C_alto_riesgo
CLI-00469,Lima,Medio,Baja,36423.06,2194.46,0.1883,0.7617,Clase_A_bajo_riesgo
CLI-01105,Junín,Bajo,Muy alta,56309.34,2752.27,0.1336,0.7713,Clase_A_bajo_riesgo
CLI-01541,La Libertad,Bajo,Alta,44267.21,2028.91,0.0524,0.8093,Clase_A_bajo_riesgo
CLI-01261,Lima,Bajo,Alta,36926.22,1915.64,0.296,0.7143,Clase_B_riesgo_medio
CLI-01144,Cusco,Medio,Muy baja,29764.31,1321.63,0.5534,0.2767,Clase_C_alto_riesgo
CLI-00418,Lima,Bajo,Baja,47053.63,1704.65,0.4263,0.4462,Clase_C_alto_riesgo
CLI-01629,Lima,Alto,Baja,78257.85,4312.92,0.509,0.4536,Clase_B_riesgo_medio
CLI-00912,Lima,Bajo,Baja,62976.35,2920.36,0.2966,0.5604,Clase_B_riesgo_medio
CLI-00539,Arequipa,Alto,Muy baja,47702.38,2555.26,0.3129,0.5918,Clase_B_riesgo_medio
CLI-01913,Junín,Bajo,Baja,26957.29,1819.12,0.3763,0.5727,Clase_C_alto_riesgo
CLI-00319,Lima,Medio,Alta,72516.54,3063.63,0.2927,0.6354,Clase_B_riesgo_medio
CLI-01762,Piura,Alto,Baja,96881.44,4841.59,0.2714,0.5572,Clase_A_bajo_riesgo
CLI-00701,Arequipa,Medio,Alta,37982.61,1368.47,0.0317,0.8752,Clase_A_bajo_riesgo
CLI-01129,Lima,Muy alto,Media,59047.61,2705.17,0.1637,0.6306,Clase_B_riesgo_medio
CLI-00035,Junín,Medio,Muy alta,119017.72,5991.91,0.1802,0.7034,Clase_A_bajo_riesgo
CLI-00645,Lima,Bajo,Media,26567.2,1258.48,0.1908,0.6725,Clase_B_riesgo_medio
CLI-01193,Lima,Muy alto,Alta,32410.45,1846.99,0.2246,0.7647,Clase_A_bajo_riesgo
CLI-00657,Lima,Alto,Alta,36661.8,1544.64,0.2677,0.621,Clase_B_riesgo_medio
CLI-01062,Junín,Bajo,Baja,21258.93,1091.33,0.3197,0.5233,Clase_C_alto_riesgo
CLI-01534,Lima,Medio,Muy alta,54850.95,2627.64,0.1829,0.7121,Clase_B_riesgo_medio
CLI-01817,Lima,Medio,Media,28584.67,1900.38,0.1479,0.6906,Clase_A_bajo_riesgo
CLI-00556,Lima,Muy alto,Media,31244.97,1805.71,0.4272,0.5266,Clase_B_riesgo_medio
CLI-01695,Lima,Medio,Baja,61193.11,2730.67,0.4665,0.305,Clase_C_alto_riesgo
CLI-01769,Lima,Bajo,Muy baja,35580.53,1613.96,0.7353,0.0593,Clase_C_alto_riesgo
CLI-00541,Junín,Medio,Media,71295.51,3572.39,0.3837,0.5892,Clase_B_riesgo_medio
CLI-00839,Cusco,Alto,Media,26914.8,1691.18,0.1829,0.6369,Clase_A_bajo_riesgo
CLI-01964,Lima,Medio,Media,42372.76,1744.22,0.3252,0.521,Clase_C_alto_riesgo
CLI-00976,Lima,Bajo,Media,68413.07,3763.03,0.2249,0.6451,Clase_B_riesgo_medio
CLI-00128,Piura,Bajo,Baja,74704.79,3605.05,0.5178,0.3191,Clase_C_alto_riesgo
CLI-00473,Lima,Alto,Muy alta,74358.08,3620.3,0.2032,0.6498,Clase_A_bajo_riesgo
CLI-00303,Arequipa,Medio,Alta,95260.9,4479.01,0.3213,0.4922,Clase_C_alto_riesgo
CLI-01593,Lima,Medio,Alta,76076.5,4224.86,0.2862,0.6696,Clase_B_riesgo_medio
CLI-01047,Lima,Medio,Baja,52156.46,2283.02,0.4845,0.4485,Clase_B_riesgo_medio
CLI-01856,Lima,Bajo,Muy baja,38548.8,2175.93,0.4248,0.3148,Clase_C_alto_riesgo
CLI-01300,La Libertad,Alto,Muy baja,35718.04,2054.8,0.2696,0.6815,Clase_C_alto_riesgo
CLI-00765,Lima,Bajo,Baja,36988.34,1803.18,0.3044,0.6073,Clase_B_riesgo_medio
CLI-00921,Piura,Medio,Muy baja,43149.59,2035.17,0.4366,0.5382,Clase_B_riesgo_medio
CLI-01321,Lima,Medio,Media,29439.48,2009.25,0.3123,0.7432,Clase_B_riesgo_medio
CLI-01967,Lima,Medio,Muy baja,64983.1,3749.25,0.8023,0.01,Clase_C_alto_riesgo
CLI-00032,Lima,Medio,Alta,100233.29,5234.32,0.145,0.7426,Clase_A_bajo_riesgo
CLI-01508,Arequipa,Medio,Muy baja,47101.31,2381.25,0.5423,0.2898,Clase_C_alto_riesgo
CLI-01160,Lima,Medio,Alta,76772.78,3750.75,0.0992,0.7372,Clase_A_bajo_riesgo
CLI-01426,Junín,Medio,Alta,67367.71,2987.07,0.3055,0.6565,Clase_A_bajo_riesgo
CLI-01798,Lima,Bajo,Media,24886.14,1400.67,0.121,0.7399,Clase_B_riesgo_medio
